,Player,PTS,MP,Age,YOS,Pos,Draft Status,2022-23,Draft Rank
29,RJ Barrett,20.0,34.5,22,3,SG,2019 Rnd 1 Pick 3,10900635,3
30,Will Barton,14.7,32.1,31,10,GF,2012 Rnd 2 Pick 10,14375000,40
31,Charles Bassey,3.0,7.3,21,1,PF,2021 Rnd 2 Pick 23,1563518,53
32,Keita Bates-Diop,5.7,16.2,26,4,SF,2018 Rnd 2 Pick 18,1878720,48
33,Nicolas Batum,8.3,24.8,33,14,F,2008 Rnd 1 Pick 25,10843350,25
34,Darius Bazley,10.8,27.9,22,3,PF,2019 Rnd 1 Pick 23,4264629,23
35,Bradley Beal,23.2,36.0,29,10,SG,2012 Rnd 1 Pick 3,43279250,3
36,Malik Beasley,12.1,25.0,25,6,SG,2016 Rnd 1 Pick 19,15558035,19
37,MarJon Beauchamp,0.0,13.101818382702461,21,0,SG,2022 Rnd 1 Pick 24,2485200,24
38,Davis Bertans,5.6,14.4,29,6,SF,2011 Rnd 2 Pick 12,16000000,42
39,Patrick Beverley,9.2,25.4,34,10,PG,2009 Rnd 2 Pick 12,13000000,42
40,Saddiq Bey,16.1,33.0,23,2,F,2020 Rnd 1 Pick 19,2959080,19
41,Khem Birch,4.5,18.0,29,5,PF,"2014 NBA Draft, Undrafted",6667500,61
42,Goga Bitadze,7.0,14.6,23,3,C,2019 Rnd 1 Pick 18,4765339,18
43,Bismack Biyombo,5.8,14.1,29,11,PF,2011 Rnd 1 Pick 7,1836090,7
44,Buddy Boeheim,0.0,8.91061594953117,23,0,SG,"2022 NBA Draft, Undrafted",508891,61
45,Bogdan Bogdanovic,15.1,29.3,30,5,SG,2014 Rnd 1 Pick 27,18000000,27
46,Bojan Bogdanovic,18.1,30.9,33,8,F,2011 Rnd 2 Pick 1,19550000,31
47,Bol Bol,2.4,5.8,22,3,C,2019 Rnd 2 Pick 14,2200000,44
48,Leandro Bolmaro,1.4,6.9,21,1,SG,2020 Rnd 1 Pick 23,2353320,23
49,Devin Booker,26.8,34.5,25,7,SG,2015 Rnd 1 Pick 13,33833400,13
50,BJ Boston,0.0,10.55950482165533,20,1,SG,2021 Rnd 2 Pick 21,508891,51
51,Chris Boucher,9.4,21.1,29,5,PF,"2017 NBA Draft, Undrafted",12690000,61
52,James Bouknight,4.6,9.8,21,1,G,2021 Rnd 1 Pick 11,4362240,11
53,Jamaree Bouyea,0.0,8.91061594953117,23,0,G,"2022 NBA Draft, Undrafted",508891,61
54,Tony Bradley,3.0,10.0,24,5,C,2017 Rnd 1 Pick 28,2036318,28
55,Malaki Branham,0.0,14.191455314119587,19,0,GF,2022 Rnd 1 Pick 20,2925600,20
56,Christian Braun,0.0,13.872732855297922,21,0,SF,2022 Rnd 1 Pick 21,2808600,21
57,Mikal Bridges,14.2,34.8,25,4,SG,2018 Rnd 1 Pick 10,20100000,10
58,Oshae Brissett,9.1,23.3,24,3,PF,"2019 NBA Draft, Undrafted",1846738,61
59,Malcolm Brogdon,19.1,33.5,29,6,SG,2016 Rnd 2 Pick 6,22600000,36
60,Dillon Brooks,18.4,27.7,26,5,F,2017 Rnd 2 Pick 15,11400000,45
61,Greg Brown,4.7,13.3,20,1,SF,2021 Rnd 2 Pick 13,1563518,43
62,Gabe Brown,0.0,8.91061594953117,22,0,SF,"2022 NBA Draft, Undrafted",508891,61
63,Jaylen Brown,23.6,33.6,25,6,SF,2016 Rnd 1 Pick 3,28741071,3
64,Bruce Brown,9.0,24.6,26,4,SG,2018 Rnd 2 Pick 12,6479000,42
65,Charlie Brown,1.4,8.0,25,3,SG,"2019 NBA Draft, Undrafted",1701593,61
66,Chaundee Brown,6.2,20.8,23,1,SF,"2021 NBA Draft, Undrafted",508891,61
67,Troy Brown,4.3,16.0,23,4,SF,2018 Rnd 1 Pick 15,1836016,15
68,Moses Brown,4.3,8.6,22,3,C,"2019 NBA Draft, Undrafted",508891,61
69,Sterling Brown,3.3,12.8,27,5,G,2017 Rnd 2 Pick 16,3000000,46
70,Jalen Brunson,16.3,31.9,25,4,PG,2018 Rnd 2 Pick 3,27733332,33
71,Thomas Bryant,7.4,16.3,25,5,C,2017 Rnd 2 Pick 12,1836016,42
72,Reggie Bullock,8.6,28.0,31,9,SG,2013 Rnd 1 Pick 25,10012800,25
73,Trey Burke,5.1,10.5,29,9,G,2013 Rnd 1 Pick 9,3243750,9
74,Alec Burks,11.7,28.6,31,11,SG,2011 Rnd 1 Pick 12,10012800,12
75,Jared Butler,3.8,8.6,21,1,PG,2021 Rnd 2 Pick 10,1563518,40
76,Jimmy Butler,21.4,33.9,32,11,GF,2011 Rnd 1 Pick 30,37653300,30
77,Jamal Cain,0.0,8.91061594953117,23,0,F,"2022 NBA Draft, Undrafted",508891,61
78,Kentavious Caldwell-Pope,13.2,30.2,29,9,SG,2013 Rnd 1 Pick 8,14004703,8
79,Vlatko Cancar,4.1,11.7,25,3,SF,2017 Rnd 2 Pick 19,2234359,49
80,Devin Cannady,10.0,29.0,26,2,PG,"2019 NBA Draft, Undrafted",1752638,61
81,Clint Capela,11.1,27.6,28,8,PF,2014 Rnd 1 Pick 25,18706896,25
82,Vernon Carey,2.9,6.3,21,2,PF,2020 Rnd 2 Pick 2,1782621,32
83,Jevon Carter,4.2,13.7,26,4,PG,2018 Rnd 2 Pick 2,2100000,32
84,Wendell Carter,15.0,29.9,23,4,PF,2018 Rnd 1 Pick 7,14150000,7
85,Alex Caruso,7.4,28.0,28,5,G,"2016 NBA Draft, Undrafted",9030000,61
86,Julian Champagnie,0.0,8.91061594953117,22,0,F,"2022 NBA Draft, Undrafted",508891,61
87,Justin Champagnie,2.3,7.8,21,1,F,"2021 NBA Draft, Undrafted",508891,61
88,Kennedy Chandler,0.0,11.605555292084162,19,0,PG,2022 Rnd 2 Pick 8,1200000,38
89,Marquese Chriss,4.5,10.2,25,6,PF,2016 Rnd 1 Pick 8,2193920,8
90,Max Christie,0.0,11.780869697535394,19,0,F,2022 Rnd 2 Pick 5,1017781,35
91,Josh Christopher,7.9,18.0,20,1,G,2021 Rnd 1 Pick 24,2372160,24
92,Brandon Clarke,10.4,19.5,25,3,PF,2019 Rnd 1 Pick 21,4343920,21
93,Jordan Clarkson,16.0,27.1,30,8,G,2014 Rnd 2 Pick 16,13340000,46
94,Nicolas Claxton,0.0,12.082625276420373,23,3,C,2019 Rnd 2 Pick 1,508891,31
95,Amir Coffey,9.0,22.7,25,3,SF,"2019 NBA Draft, Undrafted",3395062,61
96,John Collins,16.2,30.8,24,5,PF,2017 Rnd 1 Pick 19,23500000,19
97,Zach Collins,7.8,17.9,24,5,C,2017 Rnd 1 Pick 10,7350000,10
98,Mike Conley,13.7,28.6,34,15,PG,2007 Rnd 1 Pick 4,22680000,4
99,Pat Connaughton,9.9,26.0,29,7,SF,2015 Rnd 2 Pick 11,5728396,41
100,Robert Covington,8.5,27.3,31,9,F,"2013 NBA Draft, Undrafted",12307692,61
101,Torrey Craig,6.6,20.5,31,5,GF,"2014 NBA Draft, Undrafted",5121951,61
102,Jae Crowder,9.4,28.1,32,10,SF,2012 Rnd 2 Pick 4,10183000,34
103,Cade Cunningham,17.4,32.6,20,1,SF,2021 Rnd 1 Pick 1,10552800,1
104,Seth Curry,15.0,33.4,31,9,G,"2013 NBA Draft, Undrafted",8496500,61
105,Stephen Curry,25.5,34.5,34,13,G,2009 Rnd 1 Pick 7,48070014,7
106,Dyson Daniels,0.0,21.595503536013382,19,0,GF,2022 Rnd 1 Pick 8,5508600,8
107,Anthony Davis,23.2,35.1,29,10,PF,2012 Rnd 1 Pick 1,37980720,1
108,Johnny Davis,0.0,19.788903207535967,20,0,F,2022 Rnd 1 Pick 10,4810320,10
109,Terence Davis,10.4,17.9,25,3,SF,"2019 NBA Draft, Undrafted",4000000,61
110,JD Davison,0.0,10.29493648625294,20,0,F,2022 Rnd 2 Pick 23,508891,53
111,Darius Days,0.0,8.91061594953117,23,0,PF,"2022 NBA Draft, Undrafted",508891,61
112,DeMar DeRozan,27.9,36.1,33,13,GF,2009 Rnd 1 Pick 9,27300000,9
113,Dewayne Dedmon,6.3,15.9,33,9,PF,"2013 NBA Draft, Undrafted",4700000,61
114,Matt Dellavedova,0.0,8.91061594953117,31,8,G,"2013 NBA Draft, Undrafted",508891,61
115,Donte DiVincenzo,9.0,24.0,25,4,SG,2018 Rnd 1 Pick 17,4500000,17
116,Moussa Diabate,0.0,11.306121049400744,21,0,PF,2022 Rnd 2 Pick 13,508891,43
117,Hamidou Diallo,11.0,21.9,24,4,SG,2018 Rnd 2 Pick 15,5200000,45
118,Gorgui Dieng,3.5,8.4,32,9,FC,2013 Rnd 1 Pick 21,508891,21
119,Ousmane Dieng,0.0,18.986364069407035,19,0,SG,2022 Rnd 1 Pick 11,4569840,11
120,Spencer Dinwiddie,13.7,29.6,29,8,PG,2014 Rnd 2 Pick 8,20171427,38
121,Luka Doncic,28.4,35.4,23,4,SF,2018 Rnd 1 Pick 3,37095000,3
122,Tyler Dorsey,0.0,11.43358607158666,27,2,SG,2017 Rnd 2 Pick 11,508891,41
123,Luguentz Dort,17.2,32.6,23,3,PG,"2019 NBA Draft, Undrafted",15277778,61
124,Ayo Dosunmu,8.8,27.4,22,1,PG,2021 Rnd 2 Pick 8,1563518,38
125,Jeff Dowtin,2.1,12.0,25,1,PG,"2020 NBA Draft, Undrafted",508891,61
126,Goran Dragic,7.5,23.7,36,14,G,2008 Rnd 2 Pick 15,1836090,45
127,Andre Drummond,7.9,19.7,29,10,C,2012 Rnd 1 Pick 9,3200000,9
128,Chris Duarte,13.1,28.0,25,1,PG,2021 Rnd 1 Pick 13,3936960,13
129,Kevin Durant,29.9,37.2,33,15,SF,2007 Rnd 1 Pick 2,44119845,2
130,Jalen Duren,0.0,17.565568896536917,18,0,PF,2022 Rnd 1 Pick 13,4124280,13
131,Tari Eason,0.0,15.369715823394511,21,0,F,2022 Rnd 1 Pick 17,3309160,17
132,Anthony Edwards,21.3,34.3,21,2,SF,2020 Rnd 1 Pick 1,10733400,1
133,Kessler Edwards,5.9,20.6,22,1,SG,2021 Rnd 2 Pick 14,508891,44
134,CJ Elleby,5.8,20.2,22,2,SF,2020 Rnd 2 Pick 16,508891,46
